,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,12/1/2025,12/2/2025,12/3/2025,12/4/2025,12/5/2025,12/6/2025,12/7/2025,12/8/2025,12/9/2025,12/10/2025,12/11/2025,12/12/2025,12/13/2025,12/14/2025,12/15/2025,12/16/2025,12/17/2025,12/18/2025,12/19/2025,12/20/2025,12/21/2025,12/22/2025,12/23/2025,12/24/2025,12/25/2025,12/26/2025,12/27/2025,12/28/2025,12/29/2025,12/30/2025,12/31/2025,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,257.25,359.25,555,519,479,847.5,627,243,222.75,505.5,192.5,450.5,820,916.5,194.25,433.5,549,259.5,324.5,367,1311.5,222.75,285.75,396,348,667,492.5,788.5,199.5,256.5,435,,,,,,,,
,,,crossword,sal,raw,233,328,569,507,558,423,1320,235,260,360,321,480,990,1084,211,403,484,517,645,871,1800,1800,1800,318,437,737,666,1166,186,310,352,,,,,,,,
,,,crossword,bob,raw,238,336,370,354,422,510,815,249,295,370,303,421,541,887,227,262,419,503,470,459,1053,245,277,398,356,434,448,733,205,262,412,,,,,,,,
,,,crossword,stolowd,raw,371.25,387.75,381,331.5,424.5,630,526.5,308.25,867,547.5,282,460,384.5,1800,301.5,852,430.5,259,477.5,374.5,1226,349.5,297,429,411.5,502,361,1071.5,306,291,405.75,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
,,,connections,sal,raw,5,5,5,5,5,5,0,5,5,2,5,5,2,5,5,4,5,5,5,0,0,5,5,5,5,5,4,5,4,5,5,,,,,,,,
,,,connections,bob,raw,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,4,5,5,4,5,4,3,5,5,0,5,,,,,,,,
,,,connections,stolowd,raw,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,seconds,pyramid,sary,raw,55,66,44,30,49,27,11,131,16,18,352,13,93,115,24,25,12,20,8,9,12,250,16,8,54,14,25,24,20,8,27,,,,,,,,
,,,pyramid,sal,raw,10,16,33,17,15,36,13,41,14,18,84,11,37,23,41,16,8,28,25,13,141,24,21,12,186,58,27,39,10,7,16,,,,,,,,
,,,pyramid,bob,raw,60,26,28,231,181,107,18,83,18,42,337,13,63,19,60,20,10,43,24,10,17,300,27,19,25,9,33,61,300,14,67,,,,,,,,
